ds,yhat,yhat_lower,yhat_upper
2026-06-07 10:28:52,0.508966696993364,0.4425814206254113,0.5821584986936543
2026-06-07 11:28:52,0.5001137905742761,0.42558672710333145,0.5740551667899065
2026-06-07 12:28:52,0.4683489945189244,0.3950123962730146,0.5387755210416048
2026-06-07 13:28:52,0.4522528360023996,0.3781577997860077,0.5229605842954304
2026-06-07 14:28:52,0.46922548963507094,0.400598211945893,0.5411723569316914
2026-06-07 15:28:52,0.5007180658392887,0.4375209651254462,0.5746175619737376
2026-06-07 16:28:52,0.5078032221922351,0.4385174636993022,0.5755725415218919
2026-06-07 17:28:52,0.46370250911901534,0.394391465041224,0.530905604384579
2026-06-07 18:28:52,0.37566319698558803,0.3055999631714443,0.4490199642247331
2026-06-07 19:28:52,0.2788794289958979,0.20878428085937736,0.34913974752736154
2026-06-07 20:28:52,0.20980935052622313,0.14109304723562216,0.2826952914814576
2026-06-07 21:28:52,0.18251347195205364,0.11308069553705533,0.2560765582540382
2026-06-07 22:28:52,0.18583986435831998,0.11365375178982207,0.2593644313292772
2026-06-07 23:28:52,0.19892809284141427,0.12530282913339258,0.26958037722601247
2026-06-08 00:28:52,0.207772024269274,0.13725289249307715,0.27956177790253656
2026-06-08 01:28:52,0.20920288077315666,0.14057748523714977,0.2794252867604669
2026-06-08 02:28:52,0.2043296972254558,0.13264753067008214,0.28310288123162525
2026-06-08 03:28:52,0.193728870098147,0.12252399018044094,0.26605336200047436
2026-06-08 04:28:52,0.1813849651507927,0.11011278009475467,0.2523272560112968
2026-06-08 05:28:52,0.1808417749035024,0.10828192016529488,0.25141259194768584
2026-06-08 06:28:52,0.21149161973108097,0.13962771789041892,0.2869219724161448
2026-06-08 07:28:52,0.2828205650908481,0.21230249469334103,0.35252286211080586
2026-06-08 08:28:52,0.3798037360607743,0.30841627082911677,0.4526590759044263
2026-06-08 09:28:52,0.46620385327367975,0.39528582878692137,0.5394671455720722
2026-06-08 10:28:52,0.5080235546423887,0.4401936461472404,0.5824166776890369
2026-06-08 11:28:52,0.4994142690543273,0.42645523194271656,0.5688669619006612
2026-06-08 12:28:52,0.4678895703020104,0.40401521712877203,0.5339838018124033
2026-06-08 13:28:52,0.452026856446117,0.38439862044362655,0.5269512300211184
2026-06-08 14:28:52,0.46922329089952314,0.39588769422792824,0.5473154937426657
